relative_path,bytes,sha256,reason
revised_artifacts/figures/Figure_10_error_guided_validation_plan.pdf,15175,4dcbccb8f9b33c24dfc8d139aea6a49ec30d824b37da0f23f2168378a6800881,removed_from_slim_upload_candidate: exact duplicate of submission_manuscript/figures copy retained in package
revised_artifacts/figures/Figure_10_error_guided_validation_plan.png,247725,bd7e56078250d75c155ce5a66f1bcaf1f8d2dd51c641b5187f1e910439ad5031,removed_from_slim_upload_candidate: exact duplicate of submission_manuscript/figures copy retained in package
revised_artifacts/figures/Figure_11_B2_RF_confusion_matrices.pdf,22426,7b59ba22efc64f69c590e104530dfc1bbba9ecb962b9b1af0b9a6c54fa8702e7,removed_from_slim_upload_candidate: exact duplicate of submission_manuscript/figures copy retained in package
revised_artifacts/figures/Figure_11_B2_RF_confusion_matrices.png,583551,a155a4d4de9ad9ed8a63953abc2767075be749a72d89ef29cbb19b79c29e26bf,removed_from_slim_upload_candidate: exact duplicate of submission_manuscript/figures copy retained in package
revised_artifacts/figures/Figure_12_transfer_similarity.pdf,19695,4dfd1c89187388f8c06eb5ef6eb09527bf432b63a3647116289de094f24f4e8c,removed_from_slim_upload_candidate: exact duplicate of submission_manuscript/figures copy retained in package
revised_artifacts/figures/Figure_12_transfer_similarity.png,285155,9c632e0d66697d871510259a47fccc7256a3a9eba3caf284c64735ade861dc04,removed_from_slim_upload_candidate: exact duplicate of submission_manuscript/figures copy retained in package
revised_artifacts/figures/Figure_1_workflow.pdf,53869,a37e19c1c010948af99700ec1248ed236aa1a7105375c63e03c82e2274019f37,removed_from_slim_upload_candidate: exact duplicate of submission_manuscript/figures copy retained in package
revised_artifacts/figures/Figure_1_workflow.png,254475,575d4cc76f3bc1f3b97226981b95002dc3933d46fdb697ad9ab7998128b15c4c,removed_from_slim_upload_candidate: exact duplicate of submission_manuscript/figures copy retained in package
revised_artifacts/figures/Figure_2_locked_verified_samples_map.pdf,26534,1728a51a3011628d6393e4116c8157ac1a20e93bebf14db56c81e5e4dd1365a4,removed_from_slim_upload_candidate: exact duplicate of submission_manuscript/figures copy retained in package
revised_artifacts/figures/Figure_2_locked_verified_samples_map.png,1102463,ae2588cf4011ce52b945d4ee7938d7cb32bfd667d71d9f4504ff1c56ac13afeb,removed_from_slim_upload_candidate: exact duplicate of submission_manuscript/figures copy retained in package
revised_artifacts/figures/Figure_3_random_vs_spatial_accuracy.pdf,17083,351992764699d5436ef9240e5a68e81e4fe943f275cc30f001b64f8df3897456,removed_from_slim_upload_candidate: exact duplicate of submission_manuscript/figures copy retained in package
revised_artifacts/figures/Figure_3_random_vs_spatial_accuracy.png,247499,91a94232669c56acbbefaa0e806e4874ac570cd77d7890960ffceda1b88df7fa,removed_from_slim_upload_candidate: exact duplicate of submission_manuscript/figures copy retained in package
revised_artifacts/figures/Figure_4_conformal_coverage.pdf,14614,3ff8471c7abbd8961a68e02bbcc3361e203ca5de08535e232ba4dbf377e9be9d,removed_from_slim_upload_candidate: exact duplicate of submission_manuscript/figures copy retained in package
revised_artifacts/figures/Figure_4_conformal_coverage.png,186627,e05fb34d5e06cdd6992a5b468e3b30b8a2d4570e3caf17e1e711c503ec8bbd97,removed_from_slim_upload_candidate: exact duplicate of submission_manuscript/figures copy retained in package
revised_artifacts/figures/Figure_5_landscape_regression.pdf,16687,e29f55ecb48cc2bb41d55e7afb6f427655a02fcb0c31a9e3de338c9f2930b48b,removed_from_slim_upload_candidate: exact duplicate of submission_manuscript/figures copy retained in package
revised_artifacts/figures/Figure_5_landscape_regression.png,360092,300b7f93fd9225a9b1703ade91d4a1d3d2bebbb046916498a0651c16b616d795,removed_from_slim_upload_candidate: exact duplicate of submission_manuscript/figures copy retained in package
revised_artifacts/figures/Figure_6_transfer_accuracy.pdf,16106,df8a1f437e877403af6814e6a0b0c650afa61534651ee814ec4fe17e66240b00,removed_from_slim_upload_candidate: exact duplicate of submission_manuscript/figures copy retained in package
revised_artifacts/figures/Figure_6_transfer_accuracy.png,266960,57b1760c922cc16e76d6008e227115fcc43e5b2b254675182d0f08dbd0baf741,removed_from_slim_upload_candidate: exact duplicate of submission_manuscript/figures copy retained in package
revised_artifacts/figures/Figure_7_strict_spatial_error_map.pdf,259945,e1f2750ac8fac64c8709fdf177d9ab6acb00ec7d3533715f23328af890d3d684,removed_from_slim_upload_candidate: exact duplicate of submission_manuscript/figures copy retained in package
revised_artifacts/figures/Figure_7_strict_spatial_error_map.png,611219,312ae7086fba168d2f848718c5f6392ebaa27d71be7a82c884beb480546b901c,removed_from_slim_upload_candidate: exact duplicate of submission_manuscript/figures copy retained in package
revised_artifacts/figures/Figure_8_prediction_disagreement_map.pdf,247694,569382c9075a4d97fa80d9d98fc754e0c784c00f7b8a2ae03e2f134f981284b7,removed_from_slim_upload_candidate: exact duplicate of submission_manuscript/figures copy retained in package
revised_artifacts/figures/Figure_8_prediction_disagreement_map.png,1070322,ea7d3b28b80658f1eecbbfb827510fa0e3384791e736f07a588bd4d51875f2f9,removed_from_slim_upload_candidate: exact duplicate of submission_manuscript/figures copy retained in package
revised_artifacts/figures/Figure_9_spatial_cv_sensitivity.pdf,17332,49c93f212cfe7d722ee044047f7cf90cfa06371d5794c3bebe108fe7b058e115,removed_from_slim_upload_candidate: exact duplicate of submission_manuscript/figures copy retained in package
revised_artifacts/figures/Figure_9_spatial_cv_sensitivity.png,330232,4073d6b2eb155728545dfcb3a2a2f51bb670fdaef51621fda2ee2c23ee405655,removed_from_slim_upload_candidate: exact duplicate of submission_manuscript/figures copy retained in package
source_package/source_archives/advisor_verified_review_DaiWenzhe_20260611.zip,166169418,10255226cfafcb3c6e707946143267b078a1da618ea8720b4380abe40ef45bfd,removed_from_slim_upload_candidate: raw VHR source archive; not referenced by manuscript package paths; keep separately for repository/raw-evidence handoff if required
